Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Machine_Status,_id,process_missing_count,process_missing_flag,all_process_missing_flag
428,,,,,,,,,,,,,,,0,28280428,14,True,True
429,,,,,,,,,,,,,,,0,28290429,14,True,True
430,,,,,,,,,,,,,,,0,28300430,14,True,True
431,,,,,,,,,,,,,,,0,28310431,14,True,True
432,,,,,,,,,,,,,,,0,28320432,14,True,True
433,,,,,,,,,,,,,,,0,28330433,14,True,True
434,,,,,,,,,,,,,,,0,28340434,14,True,True
435,,,,,,,,,,,,,,,0,28350435,14,True,True
436,,,,,,,,,,,,,,,0,28360436,14,True,True
437,,,,,,,,,,,,,,,0,28370437,14,True,True
438,,,,,,,,,,,,,,,0,28380438,14,True,True
439,,,,,,,,,,,,,,,0,28390439,14,True,True
440,,,,,,,,,,,,,,,0,28400440,14,True,True
441,,,,,,,,,,,,,,,0,28410441,14,True,True
442,,,,,,,,,,,,,,,0,28420442,14,True,True
443,,,,,,,,,,,,,,,0,28430443,14,True,True
444,,,,,,,,,,,,,,,0,28440444,14,True,True
445,,,,,,,,,,,,,,,0,28450445,14,True,True
446,,,,,,,,,,,,,,,0,28460446,14,True,True
447,,,,,,,,,,,,,,,0,28470447,14,True,True
448,,,,,,,,,,,,,,,0,28480448,14,True,True
449,,,,,,,,,,,,,,,0,28490449,14,True,True
450,,,,,,,,,,,,,,,0,28500450,14,True,True
451,,,,,,,,,,,,,,,0,28510451,14,True,True
452,,,,,,,,,,,,,,,0,28520452,14,True,True
453,,,,,,,,,,,,,,,0,28530453,14,True,True
454,,,,,,,,,,,,,,,0,28540454,14,True,True
455,,,,,,,,,,,,,,,0,28550455,14,True,True
456,,,,,,,,,,,,,,,0,28560456,14,True,True
457,,,,,,,,,,,,,,,0,28570457,14,True,True
458,,,,,,,,,,,,,,,0,28580458,14,True,True
459,,,,,,,,,,,,,,,0,28590459,14,True,True
460,,,,,,,,,,,,,,,0,28600460,14,True,True
461,,,,,,,,,,,,,,,0,28610461,14,True,True
462,,,,,,,,,,,,,,,0,28620462,14,True,True
463,,,,,,,,,,,,,,,0,28630463,14,True,True
464,,,,,,,,,,,,,,,0,28640464,14,True,True
465,,,,,,,,,,,,,,,0,28650465,14,True,True
466,,,,,,,,,,,,,,,0,28660466,14,True,True
467,,,,,,,,,,,,,,,0,28670467,14,True,True
468,,,,,,,,,,,,,,,0,28680468,14,True,True
469,,,,,,,,,,,,,,,0,28690469,14,True,True
470,,,,,,,,,,,,,,,0,28700470,14,True,True
471,,,,,,,,,,,,,,,0,28710471,14,True,True
472,,,,,,,,,,,,,,,0,28720472,14,True,True
473,,,,,,,,,,,,,,,0,28730473,14,True,True
474,,,,,,,,,,,,,,,0,28740474,14,True,True
475,,,,,,,,,,,,,,,0,28750475,14,True,True
476,,,,,,,,,,,,,,,0,28760476,14,True,True
477,,,,,,,,,,,,,,,0,28770477,14,True,True
478,,,,,,,,,,,,,,,0,28780478,14,True,True
479,,,,,,,,,,,,,,,0,28790479,14,True,True
480,,,,,,,,,,,,,,,0,28800480,14,True,True
481,,,,,,,,,,,,,,,0,28810481,14,True,True
482,,,,,,,,,,,,,,,0,28820482,14,True,True
483,,,,,,,,,,,,,,,0,28830483,14,True,True
